"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/20/2019 11:56:10 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019",01,"558","UN.SCHILLER115 SCH6","NETWORK NODE",76.79,78.3,0.06,-1.57
"D","12/19/2019",01,"559","UN.SCHILLER115 SCHC","NETWORK NODE",76.79,78.3,0.06,-1.57
"D","12/19/2019",01,"561","UN.SEARS   69  SEAR","NETWORK NODE",76.16,78.3,0.06,-2.2
"D","12/19/2019",01,"562","UN.SECREC  69  SECR","NETWORK NODE",79.06,78.3,0.06,0.7
"D","12/19/2019",01,"563","UN.SEMASS  13.8SEM1","NETWORK NODE",80.16,78.3,0.06,1.8
"D","12/19/2019",01,"564","UN.SEMASS  13.8SEM2","NETWORK NODE",80.16,78.3,0.06,1.8
"D","12/19/2019",01,"565","UN.HIGHGATE46  SHEL","NETWORK NODE",64.74,78.3,-6.81,-6.75
"D","12/19/2019",01,"566","UN.SHEPAUG 69  SHEP","NETWORK NODE",77.98,78.3,0.06,-0.38
"D","12/19/2019",01,"567","UN.SHERMAN 115 SHER","NETWORK NODE",77.06,78.3,0.06,-1.3
"D","12/19/2019",01,"568","UN.ROLF_AVE69  SHRW","NETWORK NODE",79.38,78.3,0.06,1.02
"D","12/19/2019",01,"569","UN.LOUDEN  34.5SKEL","NETWORK NODE",75.99,78.3,0.06,-2.37
"D","12/19/2019",01,"570","UN.SMITH_HY6.9 SMTH","NETWORK NODE",28.26,78.3,-39.67,-10.37
"D","12/19/2019",01,"572","UN.S_MEADOW13.8SO11","NETWORK NODE",79.79,78.3,0.06,1.43
"D","12/19/2019",01,"573","UN.S_MEADOW13.8SO12","NETWORK NODE",79.79,78.3,0.06,1.43
"D","12/19/2019",01,"574","UN.S_MEADOW13.8SO13","NETWORK NODE",79.79,78.3,0.06,1.43
"D","12/19/2019",01,"575","UN.S_MEADOW13.8SO14","NETWORK NODE",79.79,78.3,0.06,1.43
"D","12/19/2019",01,"580","UN.S_MEADOW11.5SOM5","NETWORK NODE",79.79,78.3,0.06,1.43
"D","12/19/2019",01,"581","UN.S_MEADOW11.5SOM6","NETWORK NODE",79.79,78.3,0.06,1.43
"D","12/19/2019",01,"583","UN.STONYBRK13.2ST2A","NETWORK NODE",79.71,78.3,0.06,1.35
"D","12/19/2019",01,"584","UN.STONYBRK13.2ST2B","NETWORK NODE",79.71,78.3,0.06,1.35
