"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20190122.csv"
"C","Report for: 01/22/2019 - 01/22/2019"
"C","Report generated: 03/30/2020 17:51:59 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","01/22/2019",01,"513","UN.E_SHORE 22  NHHB","NETWORK NODE",130.12,128.78,0.27,1.07
"D","01/22/2019",01,"515","UN.TUNNEL  69  NORJ","NETWORK NODE",128.8,128.78,0.27,-0.25
"D","01/22/2019",01,"527","UN.WARD_HIL23  OGD","NETWORK NODE",127.57,128.78,0.27,-1.48
"D","01/22/2019",01,"528","UN.OCEAN_ST13.8OSP1","NETWORK NODE",128.92,128.78,0.27,-0.13
"D","01/22/2019",01,"529","UN.OCEAN_ST13.8OSP2","NETWORK NODE",128.92,128.78,0.27,-0.13
"D","01/22/2019",01,"531","UN.ADMIRAL 23.0PAWP","NETWORK NODE",129.79,128.78,0.27,0.74
"D","01/22/2019",01,"532","UN.TOPSHAM 34.5PEJE","NETWORK NODE",126.73,128.78,0.27,-2.32
"D","01/22/2019",01,"536","UN.CHEMICAL115 PERC","NETWORK NODE",124.41,128.78,0.27,-4.64
"D","01/22/2019",01,"537","UN.PILGRIM 22.8PILG","NETWORK NODE",127.68,128.78,0.27,-1.37
"D","01/22/2019",01,"538","UN.FLAGG_PD13.8PINE","NETWORK NODE",129.49,128.78,0.27,0.44
"D","01/22/2019",01,"539","UN.PONTOOK 34.5PONT","NETWORK NODE",110.64,128.78,0.27,-18.41
"D","01/22/2019",01,"540","UN.POTTER  13.8POT2","NETWORK NODE",125.39,128.78,0.27,-3.66
"D","01/22/2019",01,"541","UN.FLORNCE 46  PROC","NETWORK NODE",129.83,128.78,0.27,0.78
"D","01/22/2019",01,"542","UN.SPRNG_ST34.5PTRR","NETWORK NODE",127.34,128.78,0.27,-1.71
"D","01/22/2019",01,"546","UN.RESCOS  115 RESC","NETWORK NODE",129.53,128.78,0.27,0.48
"D","01/22/2019",01,"547","UN.WARD_HIL23  RESN","NETWORK NODE",127.57,128.78,0.27,-1.48
"D","01/22/2019",01,"549","UN.N_RUTLND46  RUT5","NETWORK NODE",130.02,128.78,0.27,0.97
"D","01/22/2019",01,"555","UN.SEABROOK24.5SBRK","NETWORK NODE",126.74,128.78,0.27,-2.31
"D","01/22/2019",01,"556","UN.SCHILLER115 SCH4","NETWORK NODE",127.99,128.78,0.27,-1.06
"D","01/22/2019",01,"557","UN.SCHILLER115 SCH5","NETWORK NODE",127.99,128.78,0.27,-1.06
"D","01/22/2019",01,"558","UN.SCHILLER115 SCH6","NETWORK NODE",127.99,128.78,0.27,-1.06
"D","01/22/2019",01,"559","UN.SCHILLER115 SCHC","NETWORK NODE",127.99,128.78,0.27,-1.06
"D","01/22/2019",01,"561","UN.SEARS   69  SEAR","NETWORK NODE",128.49,128.78,0.27,-0.56
"D","01/22/2019",01,"562","UN.SECREC  69  SECR","NETWORK NODE",128.8,128.78,0.27,-0.25
"D","01/22/2019",01,"563","UN.SEMASS  13.8SEM1","NETWORK NODE",128.47,128.78,0.27,-0.58
"D","01/22/2019",01,"564","UN.SEMASS  13.8SEM2","NETWORK NODE",128.47,128.78,0.27,-0.58
