NY_CAPITL,NY_CENTRL,NY_DUNWOD,NY_GENESE,NY_HQ,NY_HUDSON_VALLEY,NY_LONG_ISLAND,NY_MHKVL,NY_MILLWD,N.Y.C.,NY_NORTH,NY_NPX,NY_OH,NY_PJM,NY_WEST,MINNESOTA,MICHIGAN,ILLINOIS,INDIANA,ARKANSAS,MISSISIPI,TEXAS,LOUISIANA,MISOURI,IOWA,WISCONSIN,N-DAKOTA,S-DAKOTA,MONTANA,TX_AEN,TX_CPS,TX_HOUSTON,TX_LCRA,TX_NORTH,TX_RAYBN,TX_SOUTH,TX_WEST,MAINE,NEW_HAMPSHIRE,VERMONT,CONNETICUT,RHODEISLAND,SE_MASSACHUSETTS,WEST_MASSACHUSETTS,BOSTON
91958.80936168076,78262.7641240565,97508.26522963677,77293.49759163625,66078.20864463286,94717.001342949,118510.04402374112,79023.00294582901,97237.3162087441,109520.84854155239,69280.1249341238,98274.13109671524,71496.66931902818,85958.90595127361,93463.59271771529,71925.21741284052,97811.58927898106,94280.97354572032,105862.67315300553,98497.27916990826,139555.2200141566,110124.84022908744,120604.58628297772,80896.02367086927,76403.15682748688,91334.57177035179,73434.7267100031,73975.81076534177,71703.48481146332,97519.1505073916,103268.34063069115,128807.00125881073,100365.43700263592,92025.94965238092,89870.08468287469,122801.21730707093,92820.80262190507,70412.6532755811,67815.29816990277,68653.19634785604,68753.17960832399,68967.04620645364,69649.4593531665,69689.14827201157,69971.23605850717
90818.80290106413,77676.34601837545,97943.66571158357,76575.4155709329,66676.48873706907,94146.10685594217,117662.20712952944,78975.29093472488,95368.89067309537,108799.74828383622,68451.82979951853,96499.35935114358,70896.41525164152,85575.3648483916,91727.65338240917,71819.29576564384,96731.90574625667,92562.28736897235,104738.69891457389,97798.85711219802,137866.8430169885,109876.09681975735,120651.21640963624,80387.47947377931,75937.58262750732,90249.28272020044,73143.96918232873,73360.87819341425,71039.07118028624,97541.53251310505,102901.9071757971,127876.4728852951,100087.15975874315,91672.25119354407,89615.4520380154,121723.74871515222,91934.94702327381,69780.21070037415,67305.73640575031,68486.80834348907,68161.0529267016,68675.43098957148,68885.86945144365,68570.80088255009,69264.02659633779
90080.87520222325,77583.00285604357,96295.96906919953,76050.99630347513,65589.32033000905,93041.18591565077,116983.78937473992,78462.47348554873,94732.35813897033,107754.2018641603,67774.83991550154,95406.41858007603,70841.43503834265,84567.01971114724,90587.09388783255,71191.14230932239,96419.44166691402,92177.40516192107,103925.57195658042,97685.12716878258,137583.01104299526,108614.11899134118,118031.84373141675,80239.88398829124,75095.67698607141,90162.23633871524,72420.06532563262,72658.16731692894,70824.42158933567,95827.83108605686,102162.10331469002,126303.19843938384,98522.09444118784,90856.75372134545,88662.88033440366,120679.2975801256,91741.30813640791,69415.25301042365,66909.02092275619,67928.68092259229,67594.71092443218,68144.34269716388,68864.25824307317,68166.51255091756,68866.87767810865
89257.37998390215,76638.0115209035,95670.5129962635,75505.40814957132,64758.633282553266,92924.91597692728,116921.72735717751,77695.44837393078,94596.4031365996,107847.83524269807,67176.99604434085,94865.18848473523,69816.48323991551,84193.97957281208,90463.2127090629,70565.20134955489,95613.98537295057,91719.24400334185,102878.4638827747,96378.17101389739,137529.35476364207,108412.71418465373,119650.63274443154,79306.25764084604,74508.6884192646,89113.39373100793,71779.26416341297,72492.77453799211,70613.08245555956,95268.57945363953,101257.75590640203,126358.13650922175,97604.5699211111,90821.38696098959,88510.09725174612,120441.92877137089,90505.05468379239,68754.40435278625,66515.74414081231,67650.90808956682,66958.97380765967,67475.80406154452,68217.10979923928,68036.01876822338,68671.27218413369
88745.1684953384,76077.38909387839,94685.95812766309,75534.50808635486,64026.39908152895,92149.12418655229,116645.83872788638,77284.315166207,93026.99054311993,105650.07192225968,66797.6769218289,95424.77991353977,69072.10515243057,83305.45301346433,89053.63258049922,69926.63139680047,94730.38840577423,90870.48232361666,101650.21887164366,95674.89861086076,135570.38426229777,107396.88189268362,118094.02481624711,78364.64877822025,74117.12639413573,88514.04825308474,71376.51442143835,72126.57846671948,69979.1196329579,95322.22598949092,100397.80005374335,125212.92690757512,97226.59374394962,89347.49902488307,87428.90673323312,118878.5904226659,89665.7792068042,68443.40264745429,65772.07735944266,66867.40864096498,66771.83384383879,67111.33464220486,67372.08945934636,67209.417708055,68253.67643931537
87918.6055200324,75796.08022850749,94344.97251030047,74644.95028867164,63581.488914898815,90859.65416610318,115057.80709599062,75729.74052986612,92927.24099556549,103983.59320390093,66880.07515604778,94129.17416354478,68817.85584888096,82244.63613778722,88408.39807629315,69316.49447919738,94167.77008561917,89888.19959785932,101787.98360709929,94756.28562361142,134515.68459140832,106718.94285505226,116861.87461534512,78379.92102658784,73491.02233746642,87849.11709010709,70919.32757730779,71077.16380033983,69633.48616366916,94509.05494273598,99838.00712678413,124248.2032284776,96695.2466840437,88345.62157553788,86821.38711289706,118227.77427155334,89052.67947773766,67802.91801978639,65176.8989658246,66568.27950193755,65921.69788075096,66394.77302649948,66973.63814048264,66914.9554829166,67258.01943490055
86982.49152286541,74779.11557312758,94105.63905281057,73977.6707691917,63670.69632402994,91275.7069069654,114732.54683157889,75652.3952572264,91998.30484875235,105437.3576961671,66126.14737201901,92649.09129719576,67954.83087053774,81631.78478801584,88937.03146240859,69170.37442941783,93205.17567960735,89319.21640460682,100738.3756961228,94075.87206000161,133179.80876478454,105222.71534515276,116428.23708834394,77193.23197473213,72862.16036269844,87596.25422448275,70370.1206920596,70858.48617959773,68756.22840414268,93626.25503983392,98867.93898610053,123237.94896091295,95748.22425845127,88175.9614466767,86530.38362113596,117471.9193478188,88394.08048585893,67240.54932152366,65030.32010759112,65903.55962587845,65697.25463048095,65797.00713388226,66720.35781890599,66287.94061684958,67218.92048817743
86486.79467887011,74460.07296463003,91630.53547659147,73884.22428588483,62631.541329336185,90030.10080020754,113859.14820151204,74961.60098066796,90898.13293328923,104152.458961932,65523.26609268869,92046.26296349289,68067.6589880816,81687.40836997765,87335.07049816006,68432.1895872373,92151.96440861856,88153.56308587494,98962.23171672839,93673.09565485036,132738.61899946997,104542.69265560005,114996.61269817417,76808.9753725924,72598.00131469604,86822.23587838515,70051.95819927551,70378.658792329,67983.392072441,93539.44790973545,97942.4052553075,122411.7675134768,94974.8595913418,87436.91232818812,85561.34930801833,115680.8572139892,87840.6423963181,66718.96684259656,64239.51245172898,65407.01651666984,65390.8600299053,65908.11945796938,66114.1086651989,65484.94831797289,66674.01357088298
85768.54981506677,73860.28748045192,92748.11828195582,72686.64682782737,62697.532893030984,89816.9431923277,112540.8857933627,74847.29161373715,91820.84167563777,102234.59302128082,65119.6407601308,91984.66777001235,66972.41507294321,80949.68076427649,85601.58367673846,67834.09575331362,91460.91355948013,88084.96109316286,98638.63257316171,92565.33547189976,131910.05993286328,104144.94060815878,114074.27313936072,76123.6046300421,72187.76550126789,85986.11045000992,69338.57394766176,69491.39448897638,67631.49871890778,91857.75220921877,97596.3366682336,120658.36104914638,94527.72800006378,86700.01740343642,84552.80832150567,114503.07183608167,87665.83945261699,66229.74717888025,63897.62487977016,64568.86590266995,64737.00956476264,65137.60172287403,65580.40487595789,65230.027540260635,66023.21447581142
85065.86655327684,73881.06207162121,90279.3178065421,72234.31933463065,61727.74913889512,88279.3621356086,111183.71077891975,74193.43393096796,89968.6140546891,101926.37617435463,64526.79254137777,91317.02257494409,67002.04833321457,80159.62188044793,87133.85543792926,66863.33458713922,91874.62023565394,87389.33905923841,98236.1755481727,92763.405773915,131347.65112677377,103655.69753669156,114948.13377317031,75718.23565744534,71183.92621461036,85393.970138923,68791.77291166573,69564.0316503172,67092.19051915506,91893.23394421578,96009.45290872674,120178.98358232877,94181.89126524338,86375.77163839572,84041.40565603772,113874.29881214684,86559.94192813165,65448.99436687451,63475.20888782354,64554.499744493354,64338.7538846908,64526.19063039393,65519.90999803823,64777.59339728589,65483.02253469337
